Upload/ca20.txt,Upload/ca20.txt,Upload/ca21.txt,Upload/ca21.txt,Upload/ca22.txt,Upload/ca22.txt
Seconds,Amps,Seconds,Amps,Seconds,Amps
17.3,2.46648e-09,17.3,2.64462e-09,17.3,2.692e-09
17.4,2.44879e-09,17.4,2.60735e-09,17.4,2.67621e-09
17.5,2.44943e-09,17.5,2.58903e-09,17.5,2.66168e-09
17.6,2.45764e-09,17.6,2.59977e-09,17.6,2.64589e-09
17.7,2.49554e-09,17.7,2.59724e-09,17.7,2.62693e-09
17.8,2.44816e-09,17.8,2.57261e-09,17.8,2.63578e-09
17.9,2.46017e-09,17.9,2.58019e-09,17.9,2.69137e-09
18.0,2.42542e-09,18.0,2.59914e-09,18.0,2.67115e-09
18.1,2.43553e-09,18.1,2.62946e-09,18.1,2.66231e-09
18.2,2.44121e-09,18.2,2.65094e-09,18.2,2.63957e-09
18.3,2.43679e-09,18.3,2.64083e-09,18.3,2.65031e-09
18.4,2.40773e-09,18.4,2.61114e-09,18.4,2.6383e-09
18.5,2.42795e-09,18.5,2.58966e-09,18.5,2.66168e-09
18.6,2.41342e-09,18.6,2.58208e-09,18.6,2.71095e-09
18.7,2.40142e-09,18.7,2.59535e-09,18.7,2.68884e-09
18.8,2.40205e-09,18.8,2.71727e-09,18.8,2.65536e-09
18.9,2.40521e-09,18.9,2.7179e-09,18.9,2.66421e-09
19.0,2.4349e-09,19.0,2.65157e-09,19.0,2.66105e-09
19.1,2.42605e-09,19.1,2.6282e-09,19.1,2.64336e-09
19.2,2.409e-09,19.2,2.61872e-09,19.2,2.68126e-09
19.3,2.38183e-09,19.3,2.6143e-09,19.3,2.66041e-09
19.4,2.36857e-09,19.4,2.62946e-09,19.4,2.64904e-09
19.5,2.36225e-09,19.5,2.62125e-09,19.5,2.63641e-09
19.6,2.37615e-09,19.6,2.61367e-09,19.6,2.61367e-09
19.7,2.36983e-09,19.7,2.6004e-09,19.7,2.61556e-09
19.8,2.38183e-09,19.8,2.60419e-09,19.8,2.60798e-09
19.9,2.37046e-09,19.9,2.63262e-09,19.9,2.60861e-09
20.0,2.35151e-09,20.0,2.6143e-09,20.0,2.6004e-09
20.1,2.37804e-09,20.1,2.60293e-09,20.1,2.61051e-09
20.2,2.39194e-09,20.2,2.59156e-09,20.2,2.63515e-09
20.3,2.40142e-09,20.3,2.60356e-09,20.3,2.64778e-09
20.4,2.37489e-09,20.4,2.61872e-09,20.4,2.65726e-09
20.5,2.3951e-09,20.5,2.65536e-09,20.5,2.66926e-09
20.6,2.41216e-09,20.6,2.65599e-09,20.6,2.65157e-09
20.7,2.40963e-09,20.7,2.64968e-09,20.7,2.65283e-09
20.8,2.37868e-09,20.8,2.61114e-09,20.8,2.66547e-09
20.9,2.39005e-09,20.9,2.59851e-09,20.9,2.66231e-09
21.0,2.40963e-09,21.0,2.58398e-09,21.0,2.66799e-09
21.1,2.3951e-09,21.1,2.57324e-09,21.1,2.71348e-09
21.2,2.3831e-09,21.2,2.56629e-09,21.2,2.73748e-09
21.3,2.38562e-09,21.3,2.56755e-09,21.3,2.692e-09
21.4,2.39257e-09,21.4,2.56755e-09,21.4,2.68884e-09
21.5,2.3831e-09,21.5,2.57134e-09,21.5,2.64715e-09
21.6,2.40142e-09,21.6,2.55618e-09,21.6,2.63072e-09
21.7,2.38752e-09,21.7,2.59345e-09,21.7,2.62441e-09
21.8,2.40773e-09,21.8,2.66547e-09,21.8,2.63262e-09
21.9,2.40837e-09,21.9,2.62757e-09,21.9,2.67747e-09
22.0,2.41279e-09,22.0,2.6143e-09,22.0,2.67115e-09
22.1,2.41405e-09,22.1,2.6004e-09,22.1,2.65473e-09
22.2,2.433e-09,22.2,2.58398e-09,22.2,2.76338e-09
22.3,2.41721e-09,22.3,2.62062e-09,22.3,2.82592e-09
22.4,2.43932e-09,22.4,2.64715e-09,22.4,2.7577e-09
22.5,2.40963e-09,22.5,2.59535e-09,22.5,2.73116e-09
22.6,2.41279e-09,22.6,2.59156e-09,22.6,2.69832e-09
22.7,2.40268e-09,22.7,2.59156e-09,22.7,2.68568e-09
22.8,2.42984e-09,22.8,2.58271e-09,22.8,2.67747e-09
22.9,2.43616e-09,22.9,2.55682e-09,22.9,2.66421e-09
23.0,2.4608e-09,23.0,2.56755e-09,23.0,2.64273e-09
23.1,2.46395e-09,23.1,2.56187e-09,23.1,2.62946e-09
23.2,2.41216e-09,23.2,2.55808e-09,23.2,2.63136e-09
23.3,2.42858e-09,23.3,2.54987e-09,23.3,2.63894e-09
23.4,2.39763e-09,23.4,2.58587e-09,23.4,2.62062e-09
23.5,2.41468e-09,23.5,2.56503e-09,23.5,2.61304e-09
23.6,2.38436e-09,23.6,2.56945e-09,23.6,2.60735e-09
23.7,2.46585e-09,23.7,2.55176e-09,23.7,2.6004e-09
23.8,2.49933e-09,23.8,2.53723e-09,23.8,2.60356e-09
23.9,2.43806e-09,23.9,2.56187e-09,23.9,2.61304e-09
24.0,2.42921e-09,24.0,2.55113e-09,24.0,2.59788e-09
24.1,2.41847e-09,24.1,2.55555e-09,24.1,2.5764e-09
24.2,2.41468e-09,24.2,2.57071e-09,24.2,2.5745e-09
24.3,2.39763e-09,24.3,2.61556e-09,24.3,2.56566e-09
24.4,2.3951e-09,24.4,2.57387e-09,24.4,2.59788e-09
24.5,2.38941e-09,24.5,2.59914e-09,24.5,2.58019e-09
24.6,2.37109e-09,24.6,2.58082e-09,24.6,2.5644e-09
24.7,2.35278e-09,24.7,2.58145e-09,24.7,2.54229e-09
24.8,2.3414e-09,24.8,2.59409e-09,24.8,2.5903e-09
24.9,2.33446e-09,24.9,2.6781e-09,24.9,2.61872e-09
